file_hash_md5,file_hash_sha256,file_internalname,grand_process_path,source_commandline,source_process_path,target_commandline,target_process_path,client_id,Customer,Product,platform_family,TimeStamp,Virustotal,VT_name_match,hash_md5,hash_sha256,scan_date,first_submission,malicious_vendors,malicious_vendors_detail,detectiteasy,magic,names,pe_import_list,pe_resource_langs,signature_info,mark,clean_confirm_count,has_malicious_history
d4bc4605266aa8583e6ffe992c8a2088,c1a55b566246b640f6615201aae3b5ea28fd0a28dbef248807e565aa0fab1d9c,TrialVerifier.exe,nan,"""C:\Program Files\Philips Dynalite\System Manager Server\Philips.Dynalite.System.Manager.Server.exe""",C:\Program Files\Philips Dynalite\System Manager Server\Philips.Dynalite.System.Manager.Server.exe,"""C:\ProgramData\Dynalite\EnvisionManager\0twqw1ju.jo3.exe"" 3/18/2024 4:28:28 PM",C:\ProgramData\Dynalite\EnvisionManager\0twqw1ju.jo3.exe,['F66FAF938A6205A8B97DEA4BC69934F20D4F8E38'],['vinatao'],['XDR'],[],1780115218,1,not match,d4bc4605266aa8583e6ffe992c8a2088,c1a55b566246b640f6615201aae3b5ea28fd0a28dbef248807e565aa0fab1d9c,4/26/2021 14:16,4/27/2026 10:44,MaxSecure,MaxSecure(Trojan.Malware.300983.susgen),"{""filetype"": ""PE64"", ""values"": [{""name"": "".NET"", ""type"": ""Library"", ""version"": ""v4.0.30319""}, {""name"": ""Microsoft Linker"", ""type"": ""Linker""}]}","PE32+ executable (GUI) x86-64 Mono/.Net assembly, for MS Windows","[""zu1fufun.vcr.exe"", ""TrialVerifier.exe""]",[],"{""NEUTRAL"": 2}","{""copyright"": ""Copyright ©  2010"", ""description"": ""TrialDateVerification"", ""file version"": ""1.0.0.0"", ""internal name"": ""TrialVerifier.exe"", ""original name"": ""TrialVerifier.exe"", ""product"": ""TrialDateVerification""}",clean,1,0
d4bc4605266aa8583e6ffe992c8a2088,c1a55b566246b640f6615201aae3b5ea28fd0a28dbef248807e565aa0fab1d9c,TrialVerifier.exe,nan,"""C:\Program Files\Philips Dynalite\System Manager Server\Philips.Dynalite.System.Manager.Server.exe""",C:\Program Files\Philips Dynalite\System Manager Server\Philips.Dynalite.System.Manager.Server.exe,"""C:\ProgramData\Dynalite\EnvisionManager\5vmng5t2.lkj.exe"" 3/18/2024 4:28:28 PM",C:\ProgramData\Dynalite\EnvisionManager\5vmng5t2.lkj.exe,['F66FAF938A6205A8B97DEA4BC69934F20D4F8E38'],['vinatao'],['XDR'],[],1780115218,1,not match,d4bc4605266aa8583e6ffe992c8a2088,c1a55b566246b640f6615201aae3b5ea28fd0a28dbef248807e565aa0fab1d9c,4/27/2021 14:16,4/27/2026 10:44,MaxSecure,MaxSecure(Trojan.Malware.300983.susgen),"{""filetype"": ""PE64"", ""values"": [{""name"": "".NET"", ""type"": ""Library"", ""version"": ""v4.0.30319""}, {""name"": ""Microsoft Linker"", ""type"": ""Linker""}]}","PE32+ executable (GUI) x86-64 Mono/.Net assembly, for MS Windows","[""zu1fufun.vcr.exe"", ""TrialVerifier.exe""]",[],"{""NEUTRAL"": 2}","{""copyright"": ""Copyright ©  2010"", ""description"": ""TrialDateVerification"", ""file version"": ""1.0.0.0"", ""internal name"": ""TrialVerifier.exe"", ""original name"": ""TrialVerifier.exe"", ""product"": ""TrialDateVerification""}",clean,1,0
d4bc4605266aa8583e6ffe992c8a2088,c1a55b566246b640f6615201aae3b5ea28fd0a28dbef248807e565aa0fab1d9c,TrialVerifier.exe,nan,"""C:\Program Files\Philips Dynalite\System Manager Server\Philips.Dynalite.System.Manager.Server.exe""",C:\Program Files\Philips Dynalite\System Manager Server\Philips.Dynalite.System.Manager.Server.exe,"""C:\ProgramData\Dynalite\EnvisionManager\it1ueigs.c4b.exe"" 3/18/2024 4:28:28 PM",C:\ProgramData\Dynalite\EnvisionManager\it1ueigs.c4b.exe,['F66FAF938A6205A8B97DEA4BC69934F20D4F8E38'],['vinatao'],['XDR'],[],1780115218,1,not match,d4bc4605266aa8583e6ffe992c8a2088,c1a55b566246b640f6615201aae3b5ea28fd0a28dbef248807e565aa0fab1d9c,4/28/2021 14:16,4/27/2026 10:44,MaxSecure,MaxSecure(Trojan.Malware.300983.susgen),"{""filetype"": ""PE64"", ""values"": [{""name"": "".NET"", ""type"": ""Library"", ""version"": ""v4.0.30319""}, {""name"": ""Microsoft Linker"", ""type"": ""Linker""}]}","PE32+ executable (GUI) x86-64 Mono/.Net assembly, for MS Windows","[""zu1fufun.vcr.exe"", ""TrialVerifier.exe""]",[],"{""NEUTRAL"": 2}","{""copyright"": ""Copyright ©  2010"", ""description"": ""TrialDateVerification"", ""file version"": ""1.0.0.0"", ""internal name"": ""TrialVerifier.exe"", ""original name"": ""TrialVerifier.exe"", ""product"": ""TrialDateVerification""}",clean,1,0
d4bc4605266aa8583e6ffe992c8a2088,c1a55b566246b640f6615201aae3b5ea28fd0a28dbef248807e565aa0fab1d9c,TrialVerifier.exe,nan,"""C:\Program Files\Philips Dynalite\System Manager Server\Philips.Dynalite.System.Manager.Server.exe""",C:\Program Files\Philips Dynalite\System Manager Server\Philips.Dynalite.System.Manager.Server.exe,"""C:\ProgramData\Dynalite\EnvisionManager\nfusii1b.2ks.exe"" 3/18/2024 4:28:28 PM",C:\ProgramData\Dynalite\EnvisionManager\nfusii1b.2ks.exe,['F66FAF938A6205A8B97DEA4BC69934F20D4F8E38'],['vinatao'],['XDR'],[],1780115218,1,not match,d4bc4605266aa8583e6ffe992c8a2088,c1a55b566246b640f6615201aae3b5ea28fd0a28dbef248807e565aa0fab1d9c,4/29/2021 14:16,4/27/2026 10:44,MaxSecure,MaxSecure(Trojan.Malware.300983.susgen),"{""filetype"": ""PE64"", ""values"": [{""name"": "".NET"", ""type"": ""Library"", ""version"": ""v4.0.30319""}, {""name"": ""Microsoft Linker"", ""type"": ""Linker""}]}","PE32+ executable (GUI) x86-64 Mono/.Net assembly, for MS Windows","[""zu1fufun.vcr.exe"", ""TrialVerifier.exe""]",[],"{""NEUTRAL"": 2}","{""copyright"": ""Copyright ©  2010"", ""description"": ""TrialDateVerification"", ""file version"": ""1.0.0.0"", ""internal name"": ""TrialVerifier.exe"", ""original name"": ""TrialVerifier.exe"", ""product"": ""TrialDateVerification""}",clean,1,0
